"Points:0","Points:1","Points:2"
4.3445e+06,1.1377e+05,0
4.3695e+06,1.1442e+05,0
4.3945e+06,1.1507e+05,0
4.4195e+06,1.1573e+05,0
4.4445e+06,1.1638e+05,0
4.4695e+06,1.1704e+05,0
4.4945e+06,1.1769e+05,0
4.5195e+06,1.1835e+05,0
4.5444e+06,1.19e+05,0
4.5694e+06,1.1965e+05,0
4.5944e+06,1.2031e+05,0
4.6194e+06,1.2096e+05,0
4.6444e+06,1.2162e+05,0
4.6694e+06,1.2227e+05,0
4.6944e+06,1.2293e+05,0
4.7194e+06,1.2358e+05,0
4.7444e+06,1.2424e+05,0
4.7694e+06,1.2489e+05,0
4.7944e+06,1.2554e+05,0
4.8193e+06,1.262e+05,0
4.8443e+06,1.2685e+05,0
4.8693e+06,1.2751e+05,0
4.8943e+06,1.2816e+05,0
4.9193e+06,1.2882e+05,0
4.9443e+06,1.2947e+05,0
4.9693e+06,1.3013e+05,0
4.9943e+06,1.3078e+05,0
5.0193e+06,1.3143e+05,0
5.0443e+06,1.3209e+05,0
5.0693e+06,1.3274e+05,0
5.0943e+06,1.334e+05,0
5.1192e+06,1.3405e+05,0
5.1442e+06,1.3471e+05,0
5.1692e+06,1.3536e+05,0
5.1942e+06,1.3602e+05,0
5.2192e+06,1.3667e+05,0
5.2442e+06,1.3732e+05,0
5.2692e+06,1.3798e+05,0
5.2942e+06,1.3863e+05,0
5.3192e+06,1.3929e+05,0
5.3442e+06,1.3994e+05,0
5.3692e+06,1.406e+05,0
5.3942e+06,1.4125e+05,0
5.4191e+06,1.4191e+05,0
5.4441e+06,1.4256e+05,0
5.4691e+06,1.4321e+05,0
5.4941e+06,1.4387e+05,0
5.5191e+06,1.4452e+05,0
5.5441e+06,1.4518e+05,0
5.5691e+06,1.4583e+05,0
5.5941e+06,1.4649e+05,0
5.6191e+06,1.4714e+05,0
5.6441e+06,1.478e+05,0
5.6691e+06,1.4845e+05,0
5.694e+06,1.491e+05,0
5.719e+06,1.4976e+05,0
5.744e+06,1.5041e+05,0
5.769e+06,1.5107e+05,0
5.794e+06,1.5172e+05,0
5.819e+06,1.5238e+05,0
5.844e+06,1.5303e+05,0
5.869e+06,1.5368e+05,0
5.894e+06,1.5434e+05,0
5.919e+06,1.5499e+05,0
5.944e+06,1.5565e+05,0
5.969e+06,1.563e+05,0
5.9939e+06,1.5696e+05,0
6.0189e+06,1.5761e+05,0
6.0439e+06,1.5827e+05,0
6.0689e+06,1.5892e+05,0
6.0939e+06,1.5957e+05,0
6.1189e+06,1.6023e+05,0
6.1439e+06,1.6088e+05,0
6.1689e+06,1.6154e+05,0
6.1939e+06,1.6219e+05,0
6.2189e+06,1.6285e+05,0
6.2439e+06,1.635e+05,0
6.2689e+06,1.6416e+05,0
6.2938e+06,1.6481e+05,0
6.3188e+06,1.6546e+05,0
6.3438e+06,1.6612e+05,0
6.3688e+06,1.6677e+05,0
3.4689e+06,1.2114e+05,0
3.4939e+06,1.2201e+05,0
3.5189e+06,1.2288e+05,0
3.5438e+06,1.2375e+05,0
3.5688e+06,1.2463e+05,0
3.5938e+06,1.255e+05,0
3.6188e+06,1.2637e+05,0
3.6438e+06,1.2724e+05,0
3.6688e+06,1.2812e+05,0
3.6937e+06,1.2899e+05,0
3.7187e+06,1.2986e+05,0
3.7437e+06,1.3073e+05,0
3.7687e+06,1.3161e+05,0
3.7937e+06,1.3248e+05,0
3.8187e+06,1.3335e+05,0
3.8437e+06,1.3422e+05,0
3.8686e+06,1.351e+05,0
3.8936e+06,1.3597e+05,0
3.9186e+06,1.3684e+05,0
3.9436e+06,1.3771e+05,0
3.9686e+06,1.3859e+05,0
3.9936e+06,1.3946e+05,0
4.0186e+06,1.4033e+05,0
4.0435e+06,1.412e+05,0
4.0685e+06,1.4208e+05,0
4.0935e+06,1.4295e+05,0
4.1185e+06,1.4382e+05,0
4.1435e+06,1.4469e+05,0
4.1685e+06,1.4557e+05,0
4.1934e+06,1.4644e+05,0
4.2184e+06,1.4731e+05,0
4.2434e+06,1.4818e+05,0
4.2684e+06,1.4906e+05,0
4.2934e+06,1.4993e+05,0
4.3184e+06,1.508e+05,0
4.3434e+06,1.5167e+05,0
4.3683e+06,1.5255e+05,0
4.3933e+06,1.5342e+05,0
4.4183e+06,1.5429e+05,0
4.4433e+06,1.5516e+05,0
4.4683e+06,1.5604e+05,0
4.4933e+06,1.5691e+05,0
4.5182e+06,1.5778e+05,0
4.5432e+06,1.5865e+05,0
4.5682e+06,1.5953e+05,0
4.5932e+06,1.604e+05,0
4.6182e+06,1.6127e+05,0
4.6432e+06,1.6214e+05,0
4.6682e+06,1.6302e+05,0
4.6931e+06,1.6389e+05,0
4.7181e+06,1.6476e+05,0
4.7431e+06,1.6563e+05,0
4.7681e+06,1.6651e+05,0
4.7931e+06,1.6738e+05,0
4.8181e+06,1.6825e+05,0
4.843e+06,1.6912e+05,0
4.868e+06,1.7e+05,0
4.893e+06,1.7087e+05,0
4.918e+06,1.7174e+05,0
4.943e+06,1.7261e+05,0
4.968e+06,1.7349e+05,0
4.993e+06,1.7436e+05,0
5.0179e+06,1.7523e+05,0
5.0429e+06,1.761e+05,0
5.0679e+06,1.7698e+05,0
5.0929e+06,1.7785e+05,0
5.1179e+06,1.7872e+05,0
5.1429e+06,1.7959e+05,0
5.1678e+06,1.8047e+05,0
5.1928e+06,1.8134e+05,0
5.2178e+06,1.8221e+05,0
5.2428e+06,1.8308e+05,0
5.2678e+06,1.8396e+05,0
5.2928e+06,1.8483e+05,0
5.3178e+06,1.857e+05,0
5.3427e+06,1.8657e+05,0
5.3677e+06,1.8745e+05,0
5.3927e+06,1.8832e+05,0
5.4177e+06,1.8919e+05,0
5.4427e+06,1.9006e+05,0
5.4677e+06,1.9094e+05,0
5.4927e+06,1.9181e+05,0
5.5176e+06,1.9268e+05,0
5.5426e+06,1.9355e+05,0
5.5676e+06,1.9443e+05,0
5.5926e+06,1.953e+05,0
5.6176e+06,1.9617e+05,0
5.6426e+06,1.9704e+05,0
5.6675e+06,1.9792e+05,0
5.6925e+06,1.9879e+05,0
5.7175e+06,1.9966e+05,0
5.7425e+06,2.0053e+05,0
5.7675e+06,2.0140e+05,0
5.7925e+06,2.0228e+05,0
5.8175e+06,2.0315e+05,0
5.8424e+06,2.0402e+05,0
5.8674e+06,2.0489e+05,0
5.8924e+06,2.0577e+05,0
5.9174e+06,2.0664e+05,0
5.9424e+06,2.0751e+05,0
5.9674e+06,2.0838e+05,0
5.9923e+06,2.0926e+05,0
6.0173e+06,2.1013e+05,0
6.0423e+06,2.11e+05,0
6.0673e+06,2.1187e+05,0
6.0923e+06,2.1275e+05,0
6.1173e+06,2.1362e+05,0
6.1423e+06,2.1449e+05,0
6.1672e+06,2.1536e+05,0
6.1922e+06,2.1624e+05,0
6.2172e+06,2.1711e+05,0
6.2422e+06,2.1798e+05,0
6.2672e+06,2.1885e+05,0
6.2922e+06,2.1973e+05,0
6.3171e+06,2.206e+05,0
6.3421e+06,2.2147e+05,0
6.3671e+06,2.2234e+05,0
3.4677e+06,1.514e+05,0
3.4927e+06,1.5249e+05,0
3.5176e+06,1.5358e+05,0
3.5426e+06,1.5467e+05,0
3.5676e+06,1.5576e+05,0
3.5926e+06,1.5686e+05,0
3.6176e+06,1.5795e+05,0
3.6425e+06,1.5904e+05,0
3.6675e+06,1.6013e+05,0
3.6925e+06,1.6122e+05,0
3.7175e+06,1.6231e+05,0
3.7424e+06,1.634e+05,0
3.7674e+06,1.6449e+05,0
3.7924e+06,1.6558e+05,0
3.8174e+06,1.6667e+05,0
