#Normals:0,Normals:1,Normals:2,x,y,z
0.91953,-0.30589,-0.24676,5.6744e+06,-1.8876e+06,-1.5227e+06
0.91611,-0.30475,-0.26054,5.6533e+06,-1.8806e+06,-1.6078e+06
0.91249,-0.30354,-0.27427,5.631e+06,-1.8732e+06,-1.6925e+06
0.90869,-0.30228,-0.28794,5.6075e+06,-1.8654e+06,-1.7769e+06
0.9047,-0.30096,-0.30155,5.5829e+06,-1.8572e+06,-1.8609e+06
0.90054,-0.29957,-0.31511,5.5572e+06,-1.8486e+06,-1.9445e+06
0.89618,-0.29812,-0.3286,5.5304e+06,-1.8397e+06,-2.0278e+06
0.89165,-0.29661,-0.34202,5.5024e+06,-1.8304e+06,-2.1106e+06
0.89571,-0.28413,0.34202,5.5274e+06,-1.7534e+06,2.1106e+06
0.90026,-0.28558,0.3286,5.5555e+06,-1.7623e+06,2.0278e+06
0.90463,-0.28697,0.31511,5.5825e+06,-1.7709e+06,1.9445e+06
0.90882,-0.28829,0.30155,5.6083e+06,-1.7791e+06,1.8609e+06
0.91282,-0.28956,0.28794,5.633e+06,-1.7869e+06,1.7769e+06
0.91664,-0.29078,0.27427,5.6566e+06,-1.7944e+06,1.6925e+06
0.92027,-0.29193,0.26054,5.679e+06,-1.8015e+06,1.6078e+06
0.92372,-0.29302,0.24676,5.7002e+06,-1.8082e+06,1.5227e+06
0.92697,-0.29405,0.23293,5.7203e+06,-1.8146e+06,1.4374e+06
0.93004,-0.29503,0.21905,5.7393e+06,-1.8206e+06,1.3517e+06
0.93292,-0.29594,0.20512,5.7571e+06,-1.8262e+06,1.2658e+06
0.93561,-0.29679,0.19116,5.7737e+06,-1.8315e+06,1.1796e+06
0.93811,-0.29759,0.17715,5.7891e+06,-1.8364e+06,1.0932e+06
0.94042,-0.29832,0.16312,5.8034e+06,-1.8409e+06,1.0066e+06
0.94254,-0.29899,0.14904,5.8164e+06,-1.8451e+06,9.1974e+05
0.94447,-0.2996,0.13494,5.8283e+06,-1.8489e+06,8.3271e+05
0.94621,-0.30016,0.12081,5.8391e+06,-1.8523e+06,7.4551e+05
0.94775,-0.30065,0.10665,5.8486e+06,-1.8553e+06,6.5816e+05
0.94911,-0.30107,0.092477,5.8569e+06,-1.8579e+06,5.7068e+05
0.95027,-0.30144,0.078282,5.8641e+06,-1.8602e+06,4.8308e+05
0.95123,-0.30175,0.06407,5.8701e+06,-1.8621e+06,3.9538e+05
0.95201,-0.30199,0.049846,5.8748e+06,-1.8636e+06,3.076e+05
0.95259,-0.30218,0.035611,5.8784e+06,-1.8647e+06,2.1976e+05
0.95297,-0.3023,0.02137,5.8808e+06,-1.8655e+06,1.3187e+05
0.95317,-0.30236,0.0071237,5.882e+06,-1.8659e+06,43961
0.95317,-0.30236,-0.0071237,5.882e+06,-1.8659e+06,-43961
0.95297,-0.3023,-0.02137,5.8808e+06,-1.8655e+06,-1.3187e+05
0.95259,-0.30218,-0.035611,5.8784e+06,-1.8647e+06,-2.1976e+05
0.95201,-0.30199,-0.049846,5.8748e+06,-1.8636e+06,-3.076e+05
0.95123,-0.30175,-0.06407,5.8701e+06,-1.8621e+06,-3.9538e+05
0.95027,-0.30144,-0.078282,5.8641e+06,-1.8602e+06,-4.8308e+05
0.94911,-0.30107,-0.092477,5.8569e+06,-1.8579e+06,-5.7068e+05
0.94775,-0.30065,-0.10665,5.8486e+06,-1.8553e+06,-6.5816e+05
0.94621,-0.30016,-0.12081,5.8391e+06,-1.8523e+06,-7.4551e+05
0.94447,-0.2996,-0.13494,5.8283e+06,-1.8489e+06,-8.3271e+05
0.94254,-0.29899,-0.14904,5.8164e+06,-1.8451e+06,-9.1974e+05
0.94042,-0.29832,-0.16312,5.8034e+06,-1.8409e+06,-1.0066e+06
0.93811,-0.29759,-0.17715,5.7891e+06,-1.8364e+06,-1.0932e+06
0.93561,-0.29679,-0.19116,5.7737e+06,-1.8315e+06,-1.1796e+06
0.93292,-0.29594,-0.20512,5.7571e+06,-1.8262e+06,-1.2658e+06
0.93004,-0.29503,-0.21905,5.7393e+06,-1.8206e+06,-1.3517e+06
0.92697,-0.29405,-0.23293,5.7203e+06,-1.8146e+06,-1.4374e+06
0.92372,-0.29302,-0.24676,5.7002e+06,-1.8082e+06,-1.5227e+06
0.92027,-0.29193,-0.26054,5.679e+06,-1.8015e+06,-1.6078e+06
0.91664,-0.29078,-0.27427,5.6566e+06,-1.7944e+06,-1.6925e+06
0.91282,-0.28956,-0.28794,5.633e+06,-1.7869e+06,-1.7769e+06
0.90882,-0.28829,-0.30155,5.6083e+06,-1.7791e+06,-1.8609e+06
0.90463,-0.28697,-0.31511,5.5825e+06,-1.7709e+06,-1.9445e+06
0.90026,-0.28558,-0.3286,5.5555e+06,-1.7623e+06,-2.0278e+06
0.89571,-0.28413,-0.34202,5.5274e+06,-1.7534e+06,-2.1106e+06
0.89959,-0.2716,0.34202,5.5513e+06,-1.6760e+06,2.1106e+06
0.90416,-0.27298,0.3286,5.5796e+06,-1.6846e+06,2.0278e+06
0.90855,-0.27431,0.31511,5.6067e+06,-1.6928e+06,1.9445e+06
0.91276,-0.27558,0.30155,5.6326e+06,-1.7006e+06,1.8609e+06
0.91678,-0.27679,0.28794,5.6574e+06,-1.7081e+06,1.7769e+06
0.92061,-0.27795,0.27427,5.6811e+06,-1.7152e+06,1.6925e+06
0.92426,-0.27905,0.26054,5.7036e+06,-1.722e+06,1.6078e+06
0.92772,-0.28009,0.24676,5.7249e+06,-1.7285e+06,1.5227e+06
0.93099,-0.28108,0.23293,5.7451e+06,-1.7346e+06,1.4374e+06
0.93407,-0.28201,0.21905,5.7641e+06,-1.7403e+06,1.3517e+06
0.93696,-0.28289,0.20512,5.782e+06,-1.7457e+06,1.2658e+06
0.93967,-0.2837,0.19116,5.7987e+06,-1.7507e+06,1.1796e+06
0.94218,-0.28446,0.17715,5.8142e+06,-1.7554e+06,1.0932e+06
0.9445,-0.28516,0.16312,5.8285e+06,-1.7597e+06,1.0066e+06
0.94663,-0.2858,0.14904,5.8416e+06,-1.7637e+06,9.1974e+05
0.94856,-0.28639,0.13494,5.8536e+06,-1.7673e+06,8.3271e+05
0.95031,-0.28691,0.12081,5.8644e+06,-1.7706e+06,7.4551e+05
0.95186,-0.28738,0.10665,5.8739e+06,-1.7734e+06,6.5816e+05
0.95322,-0.28779,0.092477,5.8823e+06,-1.776e+06,5.7068e+05
0.95438,-0.28814,0.078282,5.8895e+06,-1.7781e+06,4.8308e+05
0.95535,-0.28844,0.06407,5.8955e+06,-1.78e+06,3.9538e+05
0.95613,-0.28867,0.049846,5.9003e+06,-1.7814e+06,3.076e+05
0.95671,-0.28885,0.035611,5.9039e+06,-1.7825e+06,2.1976e+05
0.9571,-0.28897,0.02137,5.9063e+06,-1.7832e+06,1.3187e+05
0.9573,-0.28902,0.0071237,5.9075e+06,-1.7836e+06,43961
0.9573,-0.28902,-0.0071237,5.9075e+06,-1.7836e+06,-43961
0.9571,-0.28897,-0.02137,5.9063e+06,-1.7832e+06,-1.3187e+05
0.95671,-0.28885,-0.035611,5.9039e+06,-1.7825e+06,-2.1976e+05
0.95613,-0.28867,-0.049846,5.9003e+06,-1.7814e+06,-3.076e+05
0.95535,-0.28844,-0.06407,5.8955e+06,-1.78e+06,-3.9538e+05
0.95438,-0.28814,-0.078282,5.8895e+06,-1.7781e+06,-4.8308e+05
0.95322,-0.28779,-0.092477,5.8823e+06,-1.776e+06,-5.7068e+05
0.95186,-0.28738,-0.10665,5.8739e+06,-1.7734e+06,-6.5816e+05
0.95031,-0.28691,-0.12081,5.8644e+06,-1.7706e+06,-7.4551e+05
0.94856,-0.28639,-0.13494,5.8536e+06,-1.7673e+06,-8.3271e+05
0.94663,-0.2858,-0.14904,5.8416e+06,-1.7637e+06,-9.1974e+05
0.9445,-0.28516,-0.16312,5.8285e+06,-1.7597e+06,-1.0066e+06
0.94218,-0.28446,-0.17715,5.8142e+06,-1.7554e+06,-1.0932e+06
0.93967,-0.2837,-0.19116,5.7987e+06,-1.7507e+06,-1.1796e+06
0.93696,-0.28289,-0.20512,5.782e+06,-1.7457e+06,-1.2658e+06
0.93407,-0.28201,-0.21905,5.7641e+06,-1.7403e+06,-1.3517e+06
0.93099,-0.28108,-0.23293,5.7451e+06,-1.7346e+06,-1.4374e+06
0.92772,-0.28009,-0.24676,5.7249e+06,-1.7285e+06,-1.5227e+06
0.92426,-0.27905,-0.26054,5.7036e+06,-1.722e+06,-1.6078e+06
0.92061,-0.27795,-0.27427,5.6811e+06,-1.7152e+06,-1.6925e+06
0.91678,-0.27679,-0.28794,5.6574e+06,-1.7081e+06,-1.7769e+06
0.91276,-0.27558,-0.30155,5.6326e+06,-1.7006e+06,-1.8609e+06
0.90855,-0.27431,-0.31511,5.6067e+06,-1.6928e+06,-1.9445e+06
0.90416,-0.27298,-0.3286,5.5796e+06,-1.6846e+06,-2.0278e+06
0.89959,-0.2716,-0.34202,5.5513e+06,-1.6760e+06,-2.1106e+06
0.90329,-0.25901,0.34202,5.5742e+06,-1.5984e+06,2.1106e+06
0.90788,-0.26033,0.3286,5.6025e+06,-1.6065e+06,2.0278e+06
0.91229,-0.2616,0.31511,5.6297e+06,-1.6143e+06,1.9445e+06
0.91651,-0.26281,0.30155,5.6558e+06,-1.6218e+06,1.8609e+06
0.92055,-0.26396,0.28794,5.6807e+06,-1.6289e+06,1.7769e+06
0.9244,-0.26507,0.27427,5.7045e+06,-1.6357e+06,1.6925e+06
0.92806,-0.26612,0.26054,5.7271e+06,-1.6422e+06,1.6078e+06
0.93154,-0.26711,0.24676,5.7485e+06,-1.6484e+06,1.5227e+06
0.93482,-0.26806,0.23293,5.7688e+06,-1.6542e+06,1.4374e+06
